Partida,Tabuleiro,Vencedor,Vitorias Jogador 1,Vitorias Jogador 2,Empates
1,"[1, -1, 1, 1, -1, 1, -1, 1, -1]",,0,0,1
2,"[-1, -1, 0, -1, 1, 0, 1, 1, 1]",1,1,0,1
3,"[1, -1, 1, 1, -1, -1, -1, 1, 1]",,1,0,2
4,"[-1, -1, 1, 0, 0, 1, 0, 0, 1]",1,2,0,2
5,"[0, -1, -1, 1, -1, 1, 1, -1, 1]",-1,2,1,2
6,"[1, -1, 1, -1, 1, -1, 1, 1, -1]",1,3,1,2
7,"[0, 1, 1, -1, -1, -1, 0, 1, 0]",-1,3,2,2
8,"[-1, 0, 0, 0, -1, 0, 1, 1, 1]",1,4,2,2
9,"[1, 1, 1, 0, -1, -1, 0, -1, 1]",1,5,2,2
10,"[1, -1, -1, 0, 1, 0, 0, 0, 1]",1,6,2,2
11,"[-1, 0, 0, -1, 1, 1, -1, 1, 0]",-1,6,3,2
12,"[1, -1, 1, 1, 1, -1, -1, 1, -1]",,6,3,3
13,"[1, 1, -1, 1, -1, -1, 1, -1, 1]",1,7,3,3
14,"[1, -1, 0, 1, 1, -1, 1, -1, 0]",1,8,3,3
15,"[1, -1, 1, 1, 1, -1, 1, -1, -1]",1,9,3,3
16,"[-1, 1, 0, 0, 1, 0, -1, 1, 0]",1,10,3,3
17,"[-1, -1, -1, 1, 1, 0, 0, 0, 1]",-1,10,4,3
18,"[1, 1, 0, -1, -1, -1, 0, 0, 1]",-1,10,5,3
19,"[-1, 1, 0, -1, -1, 0, 1, 1, 1]",1,11,5,3
20,"[1, -1, 0, -1, 1, -1, 0, 1, 1]",1,12,5,3
21,"[1, -1, 1, -1, 1, -1, 1, 0, 0]",1,13,5,3
22,"[0, -1, 1, 0, 1, -1, 1, 1, -1]",1,14,5,3
23,"[-1, 1, 1, 0, 1, 0, 1, -1, -1]",1,15,5,3
24,"[1, -1, 0, 1, -1, 0, 1, 1, -1]",1,16,5,3
25,"[1, 0, 0, 0, 1, -1, -1, 0, 1]",1,17,5,3
26,"[0, 0, -1, 0, 1, -1, 1, 1, -1]",-1,17,6,3
27,"[0, -1, -1, 1, -1, 1, 1, -1, 1]",-1,17,7,3
28,"[-1, -1, -1, 1, 1, -1, 0, 1, 1]",-1,17,8,3
29,"[-1, -1, 1, 1, 1, 1, 0, -1, 0]",1,18,8,3
30,"[1, 1, -1, 1, -1, 1, -1, 0, -1]",-1,18,9,3
31,"[1, -1, -1, 1, 1, -1, -1, 1, 1]",1,19,9,3
32,"[1, -1, -1, -1, 1, 1, -1, 1, 1]",1,20,9,3
33,"[1, 0, 1, -1, 1, -1, -1, 0, 1]",1,21,9,3
34,"[-1, 0, 1, 0, 1, 1, -1, -1, 1]",1,22,9,3
35,"[1, 1, 1, -1, -1, 0, -1, 1, 0]",1,23,9,3
36,"[0, -1, 0, 1, -1, 1, 0, -1, 1]",-1,23,10,3
37,"[-1, -1, -1, 1, 0, 1, -1, 1, 1]",-1,23,11,3
38,"[1, -1, 1, 0, -1, 1, 1, -1, -1]",-1,23,12,3
39,"[0, 1, 1, -1, -1, -1, 1, -1, 1]",-1,23,13,3
40,"[1, 0, 1, 0, 0, 1, -1, -1, -1]",-1,23,14,3
41,"[-1, -1, 1, -1, 1, -1, 1, 1, 1]",1,24,14,3
42,"[-1, 1, 1, -1, -1, -1, 0, 1, 1]",-1,24,15,3
43,"[-1, 0, 1, 0, 1, -1, 1, 0, 0]",1,25,15,3
44,"[1, 1, -1, 0, -1, 1, -1, 1, -1]",-1,25,16,3
45,"[1, 0, 1, 1, 1, -1, -1, -1, -1]",-1,25,17,3
46,"[-1, 1, 1, -1, -1, 1, -1, 1, 0]",-1,25,18,3
47,"[1, -1, 0, 1, 0, -1, 1, 1, -1]",1,26,18,3
48,"[-1, 0, 0, 1, 1, 1, -1, 1, -1]",1,27,18,3
49,"[-1, 1, 1, -1, 1, 0, 1, -1, 0]",1,28,18,3
50,"[0, -1, 1, -1, 1, 1, 0, -1, 1]",1,29,18,3
51,"[1, 1, -1, -1, -1, 0, -1, 1, 1]",-1,29,19,3
52,"[1, -1, 1, -1, -1, 1, 1, 1, -1]",,29,19,4
53,"[1, -1, 1, -1, 1, -1, -1, 1, 1]",1,30,19,4
54,"[1, 1, -1, -1, 1, 1, -1, 1, -1]",1,31,19,4
55,"[-1, 0, -1, 0, 1, -1, 1, 1, 1]",1,32,19,4
56,"[-1, -1, 1, 1, -1, 1, 1, 0, -1]",-1,32,20,4
57,"[0, -1, 1, 0, 1, 0, 1, 0, -1]",1,33,20,4
58,"[1, 1, -1, -1, 1, 1, -1, -1, 1]",1,34,20,4
59,"[1, -1, 1, -1, 1, 1, 1, -1, -1]",1,35,20,4
60,"[-1, -1, 1, 0, 1, 1, 1, -1, 0]",1,36,20,4
61,"[-1, 0, -1, -1, 1, 1, -1, 1, 1]",-1,36,21,4
62,"[-1, 1, -1, -1, -1, 1, 1, 1, 1]",1,37,21,4
63,"[1, 1, -1, -1, 1, -1, 0, 0, 1]",1,38,21,4
64,"[1, -1, 0, 0, 1, 1, -1, -1, 1]",1,39,21,4
65,"[0, -1, -1, 1, -1, 1, 1, -1, 1]",-1,39,22,4
66,"[1, 0, 1, 1, -1, 1, -1, -1, -1]",-1,39,23,4
67,"[1, 1, -1, -1, -1, 1, 1, -1, 1]",,39,23,5
68,"[1, -1, 1, -1, 1, 1, -1, 1, -1]",,39,23,6
69,"[1, 0, 0, -1, 1, -1, 0, 0, 1]",1,40,23,6
70,"[-1, 0, 1, 0, 0, 1, -1, 0, 1]",1,41,23,6
71,"[1, -1, 1, -1, -1, 1, 1, 1, -1]",,41,23,7
72,"[-1, 1, 1, -1, -1, 1, 1, -1, 1]",1,42,23,7
73,"[1, 1, -1, 0, -1, 1, -1, 0, 0]",-1,42,24,7
74,"[1, 1, -1, 1, -1, -1, -1, 0, 1]",-1,42,25,7
75,"[1, 0, -1, 1, 0, 1, 1, -1, -1]",1,43,25,7
76,"[0, 1, -1, 1, -1, 1, -1, 0, 0]",-1,43,26,7
77,"[0, 1, -1, -1, 1, -1, 1, 1, 0]",1,44,26,7
78,"[-1, -1, -1, 0, 1, 1, 1, -1, 1]",-1,44,27,7
79,"[-1, 1, -1, 1, -1, 0, 1, 1, -1]",-1,44,28,7
80,"[1, 1, 1, 1, -1, -1, -1, -1, 1]",1,45,28,7
81,"[1, 0, 1, 0, 0, 1, -1, -1, -1]",-1,45,29,7
82,"[1, 0, 1, 0, 1, 0, -1, -1, -1]",-1,45,30,7
83,"[-1, -1, 1, 1, 1, -1, 1, -1, 1]",1,46,30,7
84,"[-1, -1, 1, 1, -1, 1, -1, 1, 1]",1,47,30,7
85,"[1, -1, 1, 1, 1, -1, -1, 1, -1]",,47,30,8
86,"[1, -1, 1, -1, 1, -1, 1, 1, -1]",1,48,30,8
87,"[1, -1, 1, -1, 1, -1, -1, 1, 1]",1,49,30,8
88,"[1, 1, -1, -1, 1, -1, 1, 0, -1]",-1,49,31,8
89,"[1, 0, -1, 1, -1, 1, 1, -1, 0]",1,50,31,8
90,"[-1, 0, 1, 1, -1, 0, 0, 1, -1]",-1,50,32,8
91,"[-1, 1, -1, -1, -1, 1, 1, 1, 1]",1,51,32,8
92,"[-1, -1, 1, -1, 1, 1, 0, 0, 1]",1,52,32,8
93,"[-1, 1, 0, 1, 1, -1, 0, 1, -1]",1,53,32,8
94,"[-1, 1, 1, 1, -1, 1, -1, -1, 1]",1,54,32,8
95,"[-1, 0, 1, 0, 1, -1, 1, 0, 0]",1,55,32,8
96,"[-1, -1, -1, 0, 1, 1, 1, 1, -1]",-1,55,33,8
97,"[0, -1, -1, 1, 1, 1, 0, 0, 0]",1,56,33,8
98,"[1, -1, 1, 1, 1, -1, -1, 1, -1]",,56,33,9
99,"[-1, 0, 1, -1, 1, 0, -1, 0, 1]",-1,56,34,9
100,"[-1, 1, -1, 0, -1, 1, -1, 1, 1]",-1,56,35,9
101,"[-1, -1, -1, 0, 0, 1, 1, 0, 1]",-1,56,36,9
102,"[-1, 1, -1, 1, 1, -1, -1, 1, 1]",1,57,36,9
103,"[0, 1, 0, -1, 1, -1, -1, 1, 1]",1,58,36,9
104,"[-1, 1, 1, 1, 1, -1, 1, -1, -1]",1,59,36,9
105,"[1, 1, 1, -1, 0, 0, 0, -1, 0]",1,60,36,9
106,"[1, -1, 1, 1, -1, 1, -1, 1, -1]",,60,36,10
107,"[1, 1, -1, 0, 1, 0, -1, 1, -1]",1,61,36,10
108,"[1, -1, -1, -1, 1, 1, 1, -1, 1]",1,62,36,10
109,"[1, -1, -1, 0, 1, 0, 1, -1, 1]",1,63,36,10
110,"[1, 0, -1, -1, -1, 1, -1, 1, 1]",-1,63,37,10
111,"[1, -1, -1, 1, 1, -1, -1, 1, 1]",1,64,37,10
112,"[-1, -1, 1, 1, 1, -1, 1, 1, -1]",1,65,37,10
113,"[1, -1, -1, -1, 1, 1, 1, 1, -1]",,65,37,11
114,"[-1, 1, 1, -1, -1, 0, -1, 1, 1]",-1,65,38,11
